source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0042221,response to chemical,2.2021662410409213e-10,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",2619,389,96,22737,0.2467866323907455,0.03665521191294387,query_1,['GO:0050896']
GO:BP,GO:0050896,response to stimulus,1.9199002427364438e-08,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",5155,389,145,22737,0.37275064267352187,0.028128031037827354,query_1,['GO:0008150']
GO:BP,GO:0006950,response to stress,4.5297562965786534e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3210,389,99,22737,0.2544987146529563,0.0308411214953271,query_1,['GO:0050896']
GO:BP,GO:0019748,secondary metabolic process,4.5297562965786534e-07,True,"""The chemical reactions and pathways resulting in many of the chemical changes of compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon. In multicellular organisms secondary metabolism is generally carried out in specific cell types, and may be useful for the organism as a whole. In unicellular organisms, secondary metabolism is often used for the production of antibiotics or for the utilization and acquisition of unusual nutrients."" [GOC:go_curators]",245,389,21,22737,0.05398457583547558,0.08571428571428572,query_1,['GO:0008152']
GO:BP,GO:0007043,cell-cell junction assembly,8.041080061884993e-05,True,"""The aggregation, arrangement and bonding together of a set of components to form a junction between cells."" [GOC:ai]",5,389,4,22737,0.010282776349614395,0.8,query_1,"['GO:0034329', 'GO:0045216']"
GO:BP,GO:0009636,response to toxic substance,9.126854134507117e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxic stimulus."" [GOC:lr]",286,389,19,22737,0.04884318766066838,0.06643356643356643,query_1,['GO:0042221']
GO:BP,GO:0034329,cell junction assembly,0.0001433444925681571,True,"""A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction."" [GOC:mah]",6,389,4,22737,0.010282776349614395,0.6666666666666666,query_1,"['GO:0022607', 'GO:0034330']"
GO:BP,GO:0070887,cellular response to chemical stimulus,0.0001433444925681571,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",1473,389,51,22737,0.13110539845758354,0.034623217922606926,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0009414,response to water deprivation,0.0001433444925681571,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a water deprivation stimulus, prolonged deprivation of water."" [GOC:lr]",393,389,22,22737,0.056555269922879174,0.05597964376590331,query_1,"['GO:0006950', 'GO:0009415']"
GO:BP,GO:0001101,response to acid chemical,0.0001548182180961413,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by the chemical structure of the anion portion of a dissociated acid (rather than the acid acting as a proton donor). The acid chemical may be in gaseous, liquid or solid form."" [GOC:go_curators, GOC:rn]",429,389,23,22737,0.05912596401028278,0.053613053613053616,query_1,['GO:0042221']
GO:BP,GO:0009415,response to water,0.0001623212238344919,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of water."" [GOC:jl]",403,389,22,22737,0.056555269922879174,0.05459057071960298,query_1,"['GO:0001101', 'GO:0009628', 'GO:1901700']"
GO:BP,GO:0009698,phenylpropanoid metabolic process,0.0001623212238344919,True,"""The chemical reactions and pathways involving aromatic derivatives of trans-cinnamic acid."" [GOC:jl]",150,389,13,22737,0.033419023136246784,0.08666666666666667,query_1,['GO:0019748']
GO:BP,GO:1901700,response to oxygen-containing compound,0.00022211606656538717,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1517,389,51,22737,0.13110539845758354,0.03361898483849703,query_1,['GO:0042221']
GO:BP,GO:0009725,response to hormone,0.00037538569038068074,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:jl]",1425,389,48,22737,0.12339331619537275,0.03368421052631579,query_1,"['GO:0009719', 'GO:0042221']"
GO:BP,GO:0009719,response to endogenous stimulus,0.00037538569038068074,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1426,389,48,22737,0.12339331619537275,0.033660589060308554,query_1,['GO:0050896']
GO:BP,GO:0098754,detoxification,0.0003850455747617536,True,"""Any process that reduces or removes the toxicity of a toxic substance. These may include transport of the toxic substance away from sensitive areas and to compartments or complexes whose purpose is sequestration of the toxic substance."" [GOC:dos]",249,389,16,22737,0.04113110539845758,0.0642570281124498,query_1,"['GO:0008150', 'GO:0009636']"
GO:BP,GO:0009628,response to abiotic stimulus,0.0003850455747617536,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",2000,389,61,22737,0.15681233933161953,0.0305,query_1,['GO:0050896']
GO:BP,GO:0010344,seed oilbody biogenesis,0.0005330246430116556,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a seed oilbody. Seed oilbodies are simple organelles comprising a matrix of triglyceride surrounded by a phospholipid monolayer embedded and covered with unique proteins called oleosins. Seed oilbodies supply the energy requirements for the growth of the seedling after germination."" [GOC:jl, PMID:16877495]",9,389,4,22737,0.010282776349614395,0.4444444444444444,query_1,"['GO:0044085', 'GO:0048316']"
GO:BP,GO:0045216,cell-cell junction organization,0.0008302458739553915,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",10,389,4,22737,0.010282776349614395,0.4,query_1,['GO:0034330']
GO:BP,GO:0034330,cell junction organization,0.001222700273955242,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",11,389,4,22737,0.010282776349614395,0.36363636363636365,query_1,['GO:0016043']
GO:BP,GO:0050826,response to freezing,0.001361407721385828,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a freezing stimulus, temperatures below 0 degrees Celsius."" [GOC:jl]",22,389,5,22737,0.012853470437017995,0.22727272727272727,query_1,['GO:0009409']
GO:BP,GO:0071456,cellular response to hypoxia,0.0013702423002668607,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:mah]",222,389,14,22737,0.03598971722365039,0.06306306306306306,query_1,"['GO:0001666', 'GO:0033554', 'GO:0036294']"
GO:BP,GO:0036294,cellular response to decreased oxygen levels,0.001386246867230756,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]",224,389,14,22737,0.03598971722365039,0.0625,query_1,"['GO:0036293', 'GO:0071453']"
GO:BP,GO:0071453,cellular response to oxygen levels,0.001386246867230756,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:mah]",224,389,14,22737,0.03598971722365039,0.0625,query_1,"['GO:0070482', 'GO:0070887']"
GO:BP,GO:0009753,response to jasmonic acid,0.0014413133318804242,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a jasmonic acid stimulus."" [GOC:jl]",197,389,13,22737,0.033419023136246784,0.06598984771573604,query_1,"['GO:0009725', 'GO:0070542']"
GO:BP,GO:0000160,phosphorelay signal transduction system,0.0015390400468476095,True,"""A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins."" [PMID:9191038]",199,389,13,22737,0.033419023136246784,0.06532663316582915,query_1,['GO:0035556']
GO:BP,GO:0070542,response to fatty acid,0.001643536806535197,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fatty acid stimulus."" [GOC:lp]",201,389,13,22737,0.033419023136246784,0.06467661691542288,query_1,"['GO:0033993', 'GO:1901700']"
