source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0009698,phenylpropanoid metabolic process,1.2521414390441616e-07,True,"""The chemical reactions and pathways involving aromatic derivatives of trans-cinnamic acid."" [GOC:jl]",164,52,8,32365,0.15384615384615385,0.04878048780487805,query_1,['GO:0019748'],"['AT5G66390', 'AT3G21560', 'AT3G55230', 'AT3G24020', 'AT2G39430', 'AT4G13580', 'AT1G07730', 'AT2G30210']","[['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0019748,secondary metabolic process,2.3704292710760507e-07,True,"""The chemical reactions and pathways resulting in many of the chemical changes of compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon. In multicellular organisms secondary metabolism is generally carried out in specific cell types, and may be useful for the organism as a whole. In unicellular organisms, secondary metabolism is often used for the production of antibiotics or for the utilization and acquisition of unusual nutrients."" [GOC:go_curators]",268,52,9,32365,0.17307692307692307,0.033582089552238806,query_1,['GO:0008152'],"['AT5G66390', 'AT3G21560', 'AT3G55230', 'AT3G24020', 'AT2G39430', 'AT4G13580', 'AT1G07730', 'AT2G30210', 'AT1G10370']","[['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['TAS', 'IEA']]"
GO:BP,GO:0009699,phenylpropanoid biosynthetic process,2.0152141207450266e-05,True,"""The chemical reactions and pathways resulting in the formation of aromatic derivatives of trans-cinnamic acid."" [GOC:jl]",118,52,6,32365,0.11538461538461539,0.05084745762711865,query_1,"['GO:0009698', 'GO:0044550']","['AT5G66390', 'AT3G55230', 'AT3G24020', 'AT2G39430', 'AT4G13580', 'AT1G07730']","[['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0007043,cell-cell junction assembly,2.1443647615126732e-05,True,"""The aggregation, arrangement and bonding together of a set of components to form a junction between cells."" [GOC:ai]",5,52,3,32365,0.057692307692307696,0.6,query_1,"['GO:0034329', 'GO:0045216']","['AT2G36100', 'AT2G27370', 'AT3G11550']","[['IDA'], ['IDA'], ['IDA']]"
GO:BP,GO:0034329,cell junction assembly,4.283859777520359e-05,True,"""A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction."" [GOC:mah]",6,52,3,32365,0.057692307692307696,0.5,query_1,"['GO:0022607', 'GO:0034330']","['AT2G36100', 'AT2G27370', 'AT3G11550']","[['IDA'], ['IDA'], ['IDA']]"
GO:BP,GO:0044550,secondary metabolite biosynthetic process,0.00011012159258761073,True,"""The chemical reactions and pathways resulting in the formation of secondary metabolites, the compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon."" [GOC:jl]",157,52,6,32365,0.11538461538461539,0.03821656050955414,query_1,"['GO:0009058', 'GO:0019748']","['AT5G66390', 'AT3G55230', 'AT3G24020', 'AT2G39430', 'AT4G13580', 'AT1G07730']","[['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0045216,cell-cell junction organization,0.0002558663104751708,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",10,52,3,32365,0.057692307692307696,0.3,query_1,['GO:0034330'],"['AT2G36100', 'AT2G27370', 'AT3G11550']","[['IDA'], ['IDA'], ['IDA']]"
GO:BP,GO:0034330,cell junction organization,0.0003514168006569279,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",11,52,3,32365,0.057692307692307696,0.2727272727272727,query_1,['GO:0016043'],"['AT2G36100', 'AT2G27370', 'AT3G11550']","[['IDA'], ['IDA'], ['IDA']]"
GO:BP,GO:0009636,response to toxic substance,0.00040776970252862343,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxic stimulus."" [GOC:lr]",317,52,7,32365,0.1346153846153846,0.022082018927444796,query_1,['GO:0042221'],"['AT5G22300', 'AT4G15480', 'AT5G42180', 'AT5G66390', 'AT3G21560', 'AT1G10370', 'AT1G49570']","[['IEP'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['TAS', 'IEA'], ['IEA']]"
GO:BP,GO:0070141,response to UV-A,0.008329530693776134,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-A radiation stimulus. UV-A radiation (UV-A light) spans the wavelengths 315 to 400 nm."" [GOC:BHF, GOC:mah]",4,52,2,32365,0.038461538461538464,0.5,query_1,['GO:0009411'],"['AT4G14690', 'AT3G22840']","[['IEP'], ['IEP']]"
